1 DO YOU WANT DETAILED OUTPUT? ... YES (0) OR NO (1)
1
0    RESULTS ONLY WILL BE GENERATED ...
0 ENTER THE NUMBER OF OSCILLATOR QUANTA NEXT, PLEASE
             ( 14,  8)       388     1620      438     7722
             ( 15,  6)       462     1288      414    10530
             ( 16,  4)       461      935      396    12636
             ( 17,  2)       335      567      384    14040
             ( 18,  0)       131      190      378    14742
             (  8, 17)        10     2187      564   -14580
             (  9, 15)        55     2080      513    -9072
             ( 10, 13)       152     1925      468    -4212
             ( 11, 11)       296     1728      429        0
             ( 12,  9)       465     1495      396     3564
             ( 13,  7)       596     1232      369     6480
             ( 14,  5)       640      945      348     8748
             ( 15,  3)       548      640      333    10368
             ( 16,  1)       317      323      324    11340
             (  6, 18)        10     1729      540   -17820
             (  7, 16)        52     1700      486   -12474
             (  8, 14)       154     1620      438    -7722
             (  9, 12)       313     1495      396    -3564
             ( 10, 10)       518     1331      360        0
             ( 11,  8)       703     1134      330     2970
             ( 12,  6)       820      910      306     5346
             ( 13,  4)       769      665      288     7128
             ( 14,  2)       566      405      276     8316
             ( 15,  0)       200      136      270     8910
             (  4, 19)         7     1250      522   -20250
             (  5, 17)        46     1296      465   -15120
             (  6, 15)       140     1288      414   -10530
             (  7, 13)       302     1232      369    -6480
             (  8, 11)       528     1134      330    -2970
             (  9,  9)       766     1000      297        0
             ( 10,  7)       946      836      270     2430
             ( 11,  5)       982      648      249     4320
             ( 12,  3)       821      442      234     5670
             ( 13,  1)       466      224      225     6480
             (  2, 20)         5      756      510   -21870
             (  3, 18)        34      874      450   -17010
             (  4, 16)       114      935      396   -12636
             (  5, 14)       263      945      348    -8748
             (  6, 12)       493      910      306    -5346
             (  7, 10)       755      836      270    -2430
             (  8,  8)      1005      729      240        0
             (  9,  6)      1121      595      216     1944
             ( 10,  4)      1052      440      198     3402
             ( 11,  2)       739      270      186     4374
             ( 12,  0)       278       91      180     4860
             (  0, 21)         2      253      504   -22680
             (  1, 19)        17      440      441   -18144
             (  2, 17)        73      567      384   -14040
             (  3, 15)       196      640      333   -10368
             (  4, 13)       397      665      288    -7128
             (  5, 11)       667      648      249    -4320
             (  6,  9)       951      595      216    -1944
             (  7,  7)      1152      512      189        0
             (  8,  5)      1181      405      168     1512
             (  9,  3)       977      280      153     2592
             ( 10,  1)       551      143      144     3240
             (  0, 18)        26      190      378   -14742
             (  1, 16)       102      323      324   -11340
             (  2, 14)       263      405      276    -8316
             (  3, 12)       499      442      234    -5670
             (  4, 10)       789      440      198    -3402
             (  5,  8)      1042      405      168    -1512
             (  6,  6)      1181      343      144        0
             (  7,  4)      1088      260      126     1134
             (  8,  2)       787      162      114     1890
             (  9,  0)       278       55      108     2268
             (  0, 15)        91      136      270    -8910
             (  1, 13)       268      224      225    -6480
             (  2, 11)       520      270      186    -4374
             (  3,  9)       797      280      153    -2592
             (  4,  7)      1001      260      126    -1134
             (  5,  5)      1050      216      105        0
             (  6,  3)       882      154       90      810
             (  7,  1)       503       80       81     1296
             (  0, 12)       187       91      180    -4860
             (  1, 10)       429      143      144    -3240
             (  2,  8)       681      162      114    -1890
             (  3,  6)       828      154       90     -810
             (  4,  4)       816      125       72        0
             (  5,  2)       592       81       60      540
             (  6,  0)       227       28       54      810
             (  0,  9)       237       55      108    -2268
             (  1,  7)       455       80       81    -1296
             (  2,  5)       569       81       60     -540
             (  3,  3)       526       64       45        0
             (  4,  1)       312       35       36      324
             (  0,  6)       211       28       54     -810
             (  1,  4)       302       35       36     -324
             (  2,  2)       269       27       24        0
             (  3,  0)       102       10       18      162
             (  0,  3)       102       10       18     -162
             (  1,  1)        87        8        9        0
             (  0,  0)        15        1        0        0
